jd,wd,type
104.06967,30.65363,37
104.09872,30.65437,23
104.10227,30.66876,16
104.06593,30.65357,22
104.07988,30.65468,17
104.08707,30.65407,18
104.09028,30.65416,63
104.07751,30.65848,62
104.04295,30.70349,0
104.04745,30.72756,21
104.09875,30.65442,23
104.06703,30.71201,13
104.11221,30.66702,33
104.06057,30.65888,11
104.06652,30.71247,13
104.06023,30.65336,24
104.06163,30.6535,40
104.04268,30.6846,3
104.08178,30.6565,17
104.0754,30.65373,31
104.10657,30.65458,27
104.04224,30.65852,32
104.12923,30.66858,43
104.07329,30.65483,2
104.12928,30.6686,43
104.07314,30.69471,55
104.08144,30.65695,17
104.1293,30.66861,43
104.04226,30.65522,4
104.06222,30.72749,20
104.1293,30.68319,50
104.07554,30.68514,72
104.11479,30.6549,1
104.04275,30.6845,3
104.07205,30.65365,30
104.04358,30.72313,6
104.04762,30.72755,21
104.05121,30.66361,10
104.04232,30.66538,9
104.07934,30.6539,17
104.08011,30.65506,17
104.10376,30.66873,16
104.04307,30.70382,0
104.06016,30.65339,24
104.0423,30.65522,4
104.08701,30.65409,18
104.12661,30.65543,38
104.11484,30.65497,1
104.07539,30.65374,31
104.0584,30.72758,58
104.04753,30.72758,21
104.12929,30.68318,50
104.04297,30.70351,0
104.06592,30.65368,22
104.11485,30.65527,1
104.0429,30.6843,3
104.11479,30.6552,1
104.04227,30.65852,32
104.09724,30.67469,15
104.12915,30.71532,34
104.04267,30.6846,3
104.08793,30.65414,42
104.07308,30.65512,2
104.04257,30.6754,5
104.06985,30.65375,37
104.07539,30.65374,31
104.04475,30.70155,41
104.04412,30.69307,29
104.04376,30.72327,6
104.07201,30.65368,30
104.05056,30.65309,64
104.04331,30.72292,6
104.07532,30.72705,19
104.09872,30.65438,23
104.09745,30.67435,15
104.12925,30.65896,26
104.08227,30.65396,67
104.04219,30.65522,4
104.12916,30.71415,14
104.10308,30.67041,16
104.11479,30.65491,1
104.1121,30.66699,33
104.04305,30.693,29
104.04252,30.67542,5
104.12878,30.71542,34
104.0806,30.65572,17
104.06593,30.65351,22
104.04292,30.69292,29
104.05456,30.66087,47
104.04286,30.69287,29
104.07501,30.65392,31
104.09887,30.65462,23
104.06171,30.65363,40
104.12661,30.65537,38
104.09755,30.67394,15
104.12892,30.72165,52
104.0427,30.68457,3
104.07204,30.65367,30
104.11479,30.65487,1
104.04756,30.72766,21
104.10852,30.72663,12
104.07831,30.65809,45
104.12877,30.72169,52
104.04323,30.71605,36
104.06592,30.65407,22
104.1291,30.70667,28
104.04361,30.72315,6
104.06063,30.65892,11
104.043,30.6928,29
104.09873,30.65438,23
104.07334,30.69471,55
104.08019,30.65815,39
104.07537,30.65375,31
104.04226,30.65852,32
104.12926,30.66859,43
104.06711,30.71254,13
104.04804,30.6784,69
104.04297,30.7035,0
104.07325,30.69425,55
104.07533,30.72729,19
104.08796,30.65418,42
104.04229,30.65852,32
104.10641,30.65466,27
104.11479,30.6551,1
104.07533,30.72724,19
104.12949,30.65907,26
104.04376,30.68389,3
104.043,30.7039,0
104.11479,30.65529,1
104.04289,30.70022,53
104.08225,30.65393,67
104.08679,30.65419,18
104.06067,30.65742,11
104.04332,30.70341,0
104.04759,30.7276,21
104.04263,30.67838,57
104.04284,30.67527,5
104.12946,30.66869,43
104.04298,30.70393,0
104.08225,30.65393,67
104.04312,30.68423,3
104.08137,30.65683,17
104.10467,30.65466,65
104.09726,30.67466,15
104.04249,30.66529,9
104.11479,30.6551,1
104.04262,30.67838,57
104.12919,30.7067,28
104.08136,30.65681,17
104.04293,30.70075,53
104.11479,30.65498,1
104.06067,30.65699,11
104.10646,30.65464,27
104.06063,30.65876,11
104.0814,30.65688,17
104.12672,30.65518,38
104.12935,30.6701,8
104.129,30.71536,34
104.06978,30.65377,37
104.11078,30.65489,73
104.062,30.72289,61
104.08073,30.6559,17
104.08696,30.65411,18
104.04277,30.69281,29
104.08027,30.65529,17
104.11894,30.65496,59
104.1036,30.66916,16
104.04255,30.67541,5
104.04334,30.70338,0
104.0605,30.6538,24
104.06973,30.65359,37
104.08788,30.65407,42
104.11479,30.65486,1
104.04331,30.72292,6
104.04765,30.72749,21
104.07205,30.65368,30
104.12871,30.71544,34
104.04272,30.68453,3
104.08712,30.65405,18
104.07325,30.69406,55
104.04295,30.70397,0
104.04275,30.69089,60
104.04326,30.72312,6
104.04261,30.67538,5
104.04258,30.66514,9
104.11479,30.65491,1
104.07334,30.69471,55
104.04298,30.70393,0
104.04237,30.66535,9
104.05039,30.65311,64
104.08704,30.65408,18
104.12871,30.71544,34
104.12927,30.6686,43
104.11484,30.6549,1
104.0425,30.67543,5
104.04757,30.72764,21
104.08715,30.67713,66
104.07992,30.65775,39
104.04283,30.69286,29
104.0988,30.6545,23
104.05058,30.65308,64
104.08119,30.65662,17
104.08227,30.65396,67
104.04314,30.69075,60
104.11479,30.65505,1
104.06592,30.65406,22
104.08232,30.65403,67
104.06593,30.65349,22
104.08256,30.6544,67
104.06593,30.65351,22
104.11479,30.65482,1
104.05258,30.65312,56
104.04753,30.72758,21
104.07533,30.72729,19
104.11479,30.65514,1
104.08226,30.65394,67
104.0756,30.68511,72
104.06177,30.65341,40
104.12937,30.65902,26
104.05484,30.66087,47
104.09872,30.65437,23
104.11479,30.65513,1
104.05457,30.69481,81
104.09874,30.6544,23
104.1119,30.667,33
104.07202,30.65364,30
104.11451,30.65514,1
104.0823,30.65401,67
104.06592,30.65368,22
104.10629,30.65472,27
104.05507,30.66074,47
104.04255,30.67826,57
104.08813,30.65445,42
104.04252,30.67821,57
104.0603,30.65347,24
104.06979,30.65367,37
104.04299,30.70351,0
104.09033,30.65429,63
104.04269,30.68457,3
104.08705,30.65407,18
104.11487,30.6564,1
104.10643,30.65465,27
104.06969,30.65365,37
104.04283,30.68101,49
104.04256,30.66515,9
104.07561,30.68511,72
104.08705,30.65408,18
104.04335,30.71618,36
104.06195,30.65338,40
104.09874,30.65441,23
104.11888,30.65493,59
104.10627,30.65473,27
104.0526,30.65315,56
104.11078,30.65473,73
104.07269,30.65458,2
104.07279,30.69471,55
104.11078,30.65469,73
104.09032,30.65427,63
104.0974,30.67443,15
104.04297,30.70427,0
104.04274,30.68451,3
104.04263,30.68109,49
104.06983,30.65372,37
104.06593,30.65355,22
104.12932,30.659,26
104.07,30.65396,37
104.06067,30.6574,11
104.04286,30.69293,29
104.08702,30.65409,18
104.05616,30.6634,51
104.06702,30.71196,13
104.06014,30.65337,24
104.09716,30.71008,77
104.07522,30.65382,31
104.04308,30.70381,0
104.09876,30.65445,23
104.06578,30.65361,22
104.04296,30.70396,0
104.04749,30.72767,21
104.09744,30.67436,15
104.08141,30.65689,17
104.06201,30.72366,61
104.11479,30.65513,1
104.1293,30.68319,50
104.04259,30.66525,9
104.06025,30.65339,24
104.0904,30.65446,63
104.06582,30.65384,22
104.08697,30.65411,18
104.12942,30.65904,26
104.04297,30.66494,9
104.08645,30.66108,68
104.04819,30.6784,69
104.04316,30.71598,36
104.04343,30.72301,6
104.04768,30.72743,21
104.04229,30.65852,32
104.06067,30.65703,11
104.04266,30.67536,5
104.11486,30.65621,1
104.04343,30.72301,6
104.0422,30.65522,4
104.11481,30.65639,1
104.04304,30.70386,0
104.07303,30.65496,2
104.12039,30.66758,54
104.04282,30.68605,44
104.06519,30.65375,22
104.08132,30.6569,17
104.06025,30.65339,24
104.11479,30.65484,1
104.08704,30.65408,18
104.06972,30.65369,37
104.04358,30.72312,6
104.12878,30.71542,34
104.12945,30.65906,26
104.08707,30.65406,18
104.04335,30.72295,6
104.04336,30.70715,71
104.08789,30.65408,42
104.05649,30.66354,51
104.04224,30.65852,32
104.0573,30.67303,25
104.09736,30.67428,15
104.12903,30.71535,34
104.04231,30.66527,9
104.12938,30.66865,43
104.05263,30.65319,56
104.04252,30.66528,9
104.1289,30.7215,52
104.11899,30.65498,59
104.09754,30.6742,15
104.06976,30.65375,37
104.04343,30.68079,49
104.04253,30.66527,9
104.04346,30.72304,6
104.11479,30.65481,1
104.06593,30.65354,22
104.04238,30.66535,9
104.07536,30.65375,31
104.06931,30.65359,37
104.09389,30.66058,74
104.08708,30.65406,18
104.04255,30.67541,5
104.07534,30.65376,31
104.08711,30.65405,18
104.04784,30.67857,69
104.12945,30.65905,26
104.04231,30.65851,32
104.06593,30.65353,22
104.08086,30.65609,17
104.08128,30.65679,17
104.07326,30.65474,2
104.07554,30.65377,31
104.04253,30.67822,57
104.12921,30.66857,43
104.0975,30.67426,15
104.04266,30.68461,3
104.11479,30.65512,1
104.0734,30.65478,2
104.11292,30.71522,80
104.11451,30.65514,1
104.04296,30.693,29
104.12881,30.71541,34
104.08053,30.65567,17
104.05265,30.65321,56
104.06021,30.65332,24
104.0434,30.72299,6
104.05769,30.67287,25
104.11484,30.65505,1
104.04231,30.66538,9
104.06063,30.659,11
104.04763,30.72752,21
104.1294,30.67001,8
104.08141,30.65704,17
104.04267,30.67535,5
104.11479,30.65516,1
104.12661,30.65532,38
104.07522,30.68516,72
104.04306,30.69301,29
104.05446,30.66078,47
104.04343,30.72301,6
104.04343,30.72301,6
104.11484,30.65491,1
104.04334,30.72295,6
104.10471,30.65472,65
104.12944,30.66868,43
104.04294,30.66501,9
104.04235,30.66525,9
104.06023,30.65335,24
104.05683,30.67324,25
104.04314,30.69307,29
104.07533,30.72731,19
104.11078,30.6549,73
104.11479,30.65486,1
104.05055,30.65309,64
104.07533,30.65377,31
104.07208,30.65372,30
104.07303,30.65485,2
104.06997,30.65391,37
104.105,30.65505,65
104.04316,30.69308,29
104.10254,30.66883,16
104.07532,30.65377,31
104.06021,30.65332,24
104.05621,30.66298,51
104.07049,30.65438,37
104.07726,30.65876,62
104.04265,30.67536,5
104.06983,30.65373,37
104.12932,30.659,26
